Date,Open,High,Low,Close,HH,LL,14d Osc,14d Avg
7/25/2022,71.559998,71.559998,71.559998,71.559998,,,,
7/26/2022,71.099998,71.099998,71.099998,71.099998,,,,
7/27/2022,72.150002,72.150002,72.150002,72.150002,72.150002,71.099998,100,100
7/28/2022,72.980003,72.980003,72.980003,72.980003,72.980003,71.099998,100,100
7/29/2022,73.559998,73.559998,73.559998,73.559998,73.559998,72.150002,100,100
8/1/2022,73.559998,73.559998,73.559998,73.559998,73.559998,72.980003,100,100
8/2/2022,72.889999,72.889999,72.889999,72.889999,73.559998,72.889999,0,66.66666667
8/3/2022,73.82,73.82,73.82,73.82,73.82,72.889999,100,66.66666667
8/4/2022,73.980003,73.980003,73.980003,73.980003,73.980003,72.889999,100,66.66666667
8/5/2022,73.709999,73.709999,73.709999,73.709999,73.980003,73.709999,0,66.66666667
8/8/2022,73.760002,73.760002,73.760002,73.760002,73.980003,73.709999,18.51935527,39.50645176
8/9/2022,73.589996,73.589996,73.589996,73.589996,73.760002,73.589996,0,6.173118423
8/10/2022,74.510002,74.510002,74.510002,74.510002,74.510002,73.589996,100,39.50645176
8/11/2022,74.370003,74.370003,74.370003,74.370003,74.510002,73.589996,84.78281663,61.59427221
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
%k = (current close - lowest low) / (highest high - lowest low) * 100,,,,,,,,
%d = 3-day SMA of %k,,,,,,,,
